gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,InactiveDays,SubscriptionType,Churn,charge_per_tenure,service_count,is_high_value,contract_risk_score,payment_risk_score,engagement_score,tenure_band,charge_band,total_charge_ratio,has_streaming,has_security,churn_probability,churn_label,risk_score,risk_category,cluster_id,segment,top_action
0,0,1,0,37,1,Yes,DSL,No,Yes,Yes,No,No,No,One year,1,Mailed check,66.65,2465.53,16,Standard,0,1.7539473684210527,3,0,1,2,22.0,2,2,0.9997891364733075,0,0,0.1502,No Churn,3,Low,0,Loyal,No action required.
1,0,1,0,18,1,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Credit card (automatic),58.89,1098.29,52,Standard,0,3.099473684210526,3,0,2,0,4.0,1,1,1.0361030923944832,0,1,0.5071,Churn,52,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
1,0,1,1,52,1,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,1,Mailed check,84.52,4398.46,24,Premium,1,1.5947169811320754,2,1,0,2,8.0,3,2,1.000778149914449,1,1,0.2901,No Churn,11,Low,3,Premium,No action required.
0,0,0,0,57,1,No,DSL,Yes,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),64.93,3735.48,22,Standard,0,1.1194827586206897,3,0,0,0,19.0,3,1,1.0093136738349802,0,1,0.1298,No Churn,2,Low,0,Loyal,No action required.
0,0,0,0,1,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,48.37,70.17,32,Basic,1,24.185,1,0,2,3,0.0,0,1,1.4506925780442423,0,0,0.7529,Churn,93,High,1,Risky,Assign a dedicated Customer Success Manager for the first 90 days. Schedule a weekly check-in call and send a personalised onboarding kit.
1,0,0,0,64,1,No,Fiber optic,No,No,No,No,No,No,Two year,0,Credit card (automatic),68.43,4393.4,27,Standard,1,1.052769230769231,0,0,0,0,0.0,3,2,1.0031692970919186,0,0,0.2163,No Churn,6,Low,3,Premium,No action required.
0,0,0,0,39,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.22,781.76,25,Basic,0,0.4805,0,0,1,2,0.0,2,0,1.04293070786307,0,0,0.1321,No Churn,2,Low,3,Premium,No action required.
1,0,1,1,13,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),64.32,849.52,50,Standard,0,4.594285714285713,2,0,2,0,0.0,1,1,1.0159778032912363,1,0,0.6098,Churn,75,Medium,2,Inactive,Offer a free month when the customer upgrades to an annual contract. Highlight the 10 % effective discount vs month-to-month pricing.
0,0,1,0,49,1,No,DSL,No,No,No,No,Yes,No,Two year,1,Credit card (automatic),53.78,2648.18,2,Standard,0,1.0756000000000001,1,0,0,0,9.0,3,1,1.0049179954614793,1,0,0.1566,No Churn,3,Low,3,Premium,No action required.
0,0,0,1,18,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,0,Mailed check,96.11,1750.99,27,Premium,1,5.058421052631579,4,1,2,2,26.5,1,3,1.0121446490710875,1,1,0.5864,Churn,70,Medium,0,Loyal,Apply a 15 % loyalty discount for the next 3 billing cycles. Bundle with complimentary device protection to increase perceived value.
